模块,功能点,开始日期,结束日期,备注
前端,首页/导航/通知/用户菜单,2026-02-03,2026-02-10,
前端,文档上传页（上传态/失败提示）,2026-02-07,2026-02-12,
前端,内容校验页（Tab/原文弹窗/编辑）,2026-02-10,2026-02-16,
前端,进度跟踪页（时间轴/交付物/付款/人员）,2026-02-14,2026-02-20,
前端,预警看板（筛选/风险/跳转）,2026-02-18,2026-02-24,
前端,通用优化（Loading/空态/移动端）,2026-02-22,2026-02-26,
后端,鉴权/用户/项目/文件存储下载,2026-02-03,2026-02-07,
后端,文档上传与解析（PDF/Word）,2026-02-06,2026-02-12,
后端,内容提取服务（付款/时间/交付物/人员/分包）,2026-02-10,2026-02-18,
后端,自动校验服务（多文档一致性）,2026-02-16,2026-02-22,
后端,原文定位服务（段落级高亮）,2026-02-20,2026-02-26,
后端,进度跟踪数据服务,2026-02-24,2026-03-02,
后端,预警规则/看板接口,2026-02-28,2026-03-05,
后端,审计/日志/导出接口,2026-03-03,2026-03-07,
智能体,文档结构解析智能体,2026-02-07,2026-02-14,
智能体,合同要素抽取智能体,2026-02-12,2026-02-20,
智能体,一致性校验智能体,2026-02-18,2026-02-25,
智能体,原文定位智能体,2026-02-22,2026-02-28,
智能体,预警生成智能体,2026-02-26,2026-03-03,
智能体,辅助质检智能体,2026-03-01,2026-03-07,
测试与上线,联调测试（前后端+智能体）,2026-03-04,2026-03-08,
测试与上线,集成/回归测试,2026-03-07,2026-03-10,
测试与上线,预发布/灰度验证,2026-03-09,2026-03-11,
测试与上线,正式上线,2026-03-12,2026-03-12,里程碑
